,PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,first_name,Mr,second_name,Survived
161,162,2,0,40.0,0,0,764,15.75,0,3,830,13,545,1
162,163,3,1,26.0,0,0,445,7.773,0,3,70,12,628,0
163,164,3,1,17.0,0,0,357,8.664,0,3,119,12,648,0
164,165,3,1,1.0,4,1,335,39.7,0,3,609,8,291,0
165,166,3,1,9.0,0,2,583,20.53,0,3,290,8,381,1
166,167,1,0,29.88,0,1,38,55.0,156,3,144,13,5,1
167,168,3,0,45.0,1,4,464,27.9,0,3,739,13,1074,0
168,169,1,1,29.88,0,0,790,25.92,0,3,59,12,603,0
169,170,3,1,28.0,0,0,104,56.5,0,3,456,12,696,0
170,171,1,1,61.0,0,0,8,33.5,26,3,812,12,1120,0
171,172,3,1,4.0,4,1,659,29.12,0,2,664,8,118,0
172,173,3,0,1.0,1,1,477,11.13,0,3,382,9,294,1
173,174,3,1,21.0,0,0,902,7.926,0,3,736,12,113,0
174,175,1,1,56.0,0,0,115,30.7,19,1,747,12,548,0
175,176,3,1,18.0,1,1,564,7.855,0,3,413,12,683,0
176,177,3,1,29.88,3,1,671,25.47,0,3,434,8,486,0
177,178,1,0,50.0,0,0,812,28.72,90,1,365,9,96,0
178,179,2,1,30.0,0,0,225,13.0,0,3,306,12,901,0
179,180,3,1,36.0,0,0,787,0.0,0,3,441,12,717,0
180,181,3,0,29.88,8,2,778,69.56,0,3,700,9,226,0
181,182,2,1,29.88,0,0,858,15.05,0,1,630,12,905,0
182,183,3,1,9.0,4,2,454,31.39,0,3,33,8,219,0
183,184,2,1,1.0,2,1,146,39.0,184,3,66,8,910,1
184,185,3,0,4.0,0,2,365,22.03,0,3,410,9,727,1
185,186,1,1,29.88,0,0,44,50.0,14,3,680,12,517,0
186,187,3,0,29.88,1,0,633,15.5,0,2,582,13,1007,1
187,188,1,1,45.0,0,0,14,26.55,0,3,678,12,204,1
188,189,3,1,40.0,1,1,596,15.5,0,2,91,12,592,0
189,190,3,1,36.0,0,0,530,7.895,0,3,806,12,993,0
190,191,2,0,32.0,0,0,156,13.0,0,3,644,13,18,1
191,192,2,1,19.0,0,0,310,13.0,0,3,126,12,1073,0
192,193,3,0,19.0,1,0,555,7.855,0,3,19,9,181,1
193,194,2,1,3.0,1,1,145,26.0,181,3,562,8,801,1
194,195,1,0,44.0,0,0,826,27.72,39,1,104,13,551,1
195,196,1,0,58.0,0,0,802,146.5,57,1,470,9,301,1
196,197,3,1,29.88,0,0,624,7.75,0,2,519,12,920,0
197,198,3,1,42.0,0,1,677,8.41,0,3,594,12,673,0
198,199,3,0,29.88,0,0,636,7.75,0,2,474,9,746,1
199,200,2,0,24.0,0,0,215,13.0,0,3,864,9,479,0
200,201,3,1,28.0,0,0,423,9.5,0,3,814,12,820,0
201,202,3,1,29.88,8,2,778,69.56,0,3,700,12,390,0
202,203,3,1,34.0,0,0,327,6.496,0,3,379,12,543,0
203,204,3,1,45.5,0,0,236,7.227,0,1,861,12,431,0
204,205,3,1,18.0,0,0,728,8.05,0,3,155,12,444,1
205,206,3,0,2.0,0,1,436,10.46,185,3,774,9,1000,0
206,207,3,1,32.0,1,0,333,15.85,0,3,43,12,665,0
207,208,3,1,26.0,0,0,294,18.78,0,1,10,12,813,1
208,209,3,0,16.0,0,0,613,7.75,0,2,129,9,471,1
209,210,1,1,40.0,0,0,21,31.0,13,1,85,12,481,1
210,211,3,1,24.0,0,0,880,7.05,0,3,14,12,35,0
211,212,2,0,35.0,0,0,781,21.0,0,3,120,9,222,1
212,213,3,1,22.0,0,0,723,7.25,0,3,629,12,610,0
213,214,2,1,30.0,0,0,218,13.0,0,3,286,12,455,0
214,215,3,1,29.88,1,0,611,7.75,0,2,406,12,885,0
215,216,1,0,31.0,1,0,573,113.25,133,1,565,9,732,1
216,217,3,0,27.0,0,0,915,7.926,0,3,351,9,297,1
217,218,2,1,42.0,1,0,189,27.0,0,3,368,12,967,0
218,219,1,0,32.0,0,0,81,76.3,121,1,61,9,46,1
219,220,2,1,30.0,0,0,927,10.5,0,3,317,12,1056,0
220,221,3,1,16.0,0,0,895,8.05,0,3,775,12,1046,1
221,222,2,1,27.0,0,0,136,13.0,0,3,95,12,550,0
222,223,3,1,51.0,0,0,133,8.05,0,3,295,12,419,0
223,224,3,1,29.88,0,0,517,7.895,0,3,563,12,216,0
224,225,1,1,38.0,1,0,121,90.0,114,3,356,12,398,1
225,226,3,1,22.0,0,0,838,9.35,0,3,72,12,670,0
226,227,2,1,19.0,0,0,918,10.5,0,3,517,12,1107,1
227,228,3,1,20.5,0,0,722,7.25,0,3,465,12,608,0
228,229,2,1,18.0,0,0,160,13.0,0,3,243,12,117,0
229,230,3,0,29.88,3,1,671,25.47,0,3,434,9,784,0
230,231,1,0,35.0,1,0,630,83.5,106,3,317,13,484,1
231,232,3,1,29.0,0,0,444,7.773,0,3,429,12,147,0
232,233,2,1,59.0,0,0,167,13.5,0,3,738,12,344,0
233,234,3,0,5.0,4,2,454,31.39,0,3,33,9,714,1
234,235,2,1,24.0,0,0,756,10.5,0,3,446,12,925,0
235,236,3,0,29.88,0,0,925,7.55,0,3,313,9,77,0
236,237,2,1,44.0,1,0,265,26.0,0,3,346,12,988,0
237,238,2,0,8.0,0,2,761,26.25,0,3,162,9,770,1
238,239,2,1,19.0,0,0,314,10.5,0,3,628,12,402,0
239,240,2,1,33.0,0,0,870,12.27,0,3,358,12,419,0
240,241,3,0,29.88,1,0,259,14.45,0,1,865,9,1001,0
241,242,3,0,29.88,1,0,612,15.5,0,2,550,9,678,1
242,243,2,1,29.0,0,0,921,10.5,0,3,158,12,902,0
243,244,3,1,22.0,0,0,901,7.125,0,3,477,12,788,0
244,245,3,1,30.0,0,0,289,7.227,0,1,38,12,977,0
245,246,1,1,44.0,2,0,120,90.0,103,2,525,4,1094,0
246,247,3,0,25.0,0,0,448,7.773,0,3,448,9,33,0
247,248,2,0,24.0,0,2,221,14.5,0,3,307,13,1076,1
248,249,1,1,37.0,1,1,70,52.56,132,3,67,12,915,1
249,250,2,1,54.0,1,0,191,26.0,0,3,131,15,337,0
250,251,3,1,29.88,0,0,581,7.25,0,3,656,12,549,0
251,252,3,0,29.0,1,1,436,10.46,185,3,774,13,1072,0
252,253,1,1,62.0,0,0,41,26.55,109,3,762,12,1114,0
253,254,3,1,30.0,1,0,734,16.1,0,3,459,12,1084,0
254,255,3,0,41.0,0,2,632,20.22,0,3,681,13,1050,0
255,256,3,0,29.0,0,2,244,15.24,0,1,801,13,236,1
256,257,1,0,29.88,0,0,806,79.2,0,1,790,13,433,1
257,258,1,0,30.0,0,0,0,86.5,54,3,142,9,436,1
258,259,1,0,35.0,0,0,831,512.5,0,1,826,9,97,1
259,260,2,0,50.0,0,1,147,26.0,0,3,613,13,13,1
260,261,3,1,29.88,0,0,664,7.75,0,2,747,12,1004,0
261,262,3,1,3.0,4,2,454,31.39,0,3,33,8,266,1
262,263,1,1,52.0,1,1,1,79.6,171,3,783,12,317,0
263,264,1,1,40.0,0,0,20,0.0,60,3,318,12,1073,0
264,265,3,0,29.88,0,0,656,7.75,0,2,334,9,240,0
265,266,2,1,36.0,0,0,748,10.5,0,3,657,12,237,0
266,267,3,1,16.0,4,1,335,39.7,0,3,609,12,343,0
267,268,3,1,25.0,1,0,460,7.773,0,3,632,12,349,1
268,269,1,0,58.0,0,1,805,153.5,73,3,294,13,1116,1
269,270,1,0,35.0,0,0,836,135.6,117,3,81,9,83,1
270,271,1,1,29.88,0,0,62,31.0,0,3,116,12,48,0
271,272,3,1,25.0,0,0,787,0.0,0,3,799,12,1102,1
272,273,2,0,41.0,0,1,217,19.5,0,3,516,13,6,1
273,274,1,1,37.0,0,1,813,29.7,70,1,560,12,203,0
274,275,3,0,29.88,0,0,641,7.75,0,2,325,9,453,1
275,276,1,0,63.0,1,0,92,77.94,146,3,24,9,686,1
276,277,3,0,45.0,0,0,450,7.75,0,3,449,9,138,0
277,278,2,1,29.88,0,0,178,0.0,0,3,611,12,372,0
278,279,3,1,7.0,4,1,659,29.12,0,2,664,8,330,0
279,280,3,0,35.0,1,1,753,20.25,0,3,1,13,985,1
280,281,3,1,65.0,0,0,399,7.75,0,2,223,12,376,0
281,282,3,1,28.0,0,0,469,7.855,0,3,595,12,832,0
282,283,3,1,16.0,0,0,429,9.5,0,3,871,12,58,0
283,284,3,1,19.0,0,0,731,8.05,0,3,215,12,271,1
284,285,1,1,29.88,0,0,34,26.0,6,3,747,12,918,0
285,286,3,1,33.0,0,0,522,8.664,0,1,759,12,535,0
286,287,3,1,30.0,0,0,426,9.5,0,3,870,12,1003,1
287,288,3,1,22.0,0,0,489,7.895,0,3,553,12,867,0
288,289,2,1,42.0,0,0,176,13.0,0,3,354,12,782,1
289,290,3,0,22.0,0,0,639,7.75,0,2,166,9,675,1
290,291,1,0,26.0,0,0,118,78.9,0,3,54,9,309,1
291,292,1,0,19.0,1,0,82,91.06,43,1,80,13,245,1
292,293,2,1,36.0,0,0,869,12.875,118,1,444,12,907,0
293,294,3,0,24.0,0,0,519,8.85,0,3,302,9,80,0
294,295,3,1,24.0,0,0,516,7.895,0,3,526,12,535,0
295,296,1,1,29.88,0,0,828,27.72,0,1,445,12,351,0
296,297,3,1,23.5,0,0,288,7.23,0,1,309,12,739,0
297,298,1,0,2.0,1,2,49,151.5,80,3,16,9,473,0
298,299,1,1,29.88,0,0,126,30.5,66,3,696,12,32,1
299,300,1,0,50.0,0,1,800,247.5,49,1,60,13,547,1
300,301,3,0,29.88,0,0,704,7.75,0,2,401,9,99,1
301,302,3,1,29.88,2,0,608,23.25,0,2,502,12,154,1
302,303,3,1,19.0,0,0,787,0.0,0,3,382,12,1092,0
303,304,2,0,29.88,0,0,141,12.35,149,2,398,9,836,1
304,305,3,1,29.88,0,0,725,8.05,0,3,850,12,512,0
305,306,1,1,0.92,1,2,49,151.5,80,3,16,8,515,1
306,307,1,0,29.88,0,0,107,110.9,0,1,251,9,745,1
307,308,1,0,17.0,1,0,834,108.9,99,1,627,13,1048,1
308,309,2,1,30.0,1,0,789,24.0,0,1,3,12,940,0
309,310,1,0,30.0,0,0,798,56.94,158,1,259,9,693,1
310,311,1,0,24.0,0,0,75,83.2,95,1,323,9,747,1
311,312,1,0,18.0,2,2,824,262.5,48,1,693,9,324,1
312,313,2,0,26.0,1,1,223,26.0,0,3,420,13,1075,0
313,314,3,1,28.0,0,0,526,7.895,0,3,332,12,524,0
314,315,2,1,43.0,1,1,782,26.25,0,3,319,12,148,0
315,316,3,0,26.0,0,0,475,7.855,0,3,572,9,478,1
316,317,2,0,24.0,1,0,199,26.0,0,3,391,13,976,1
317,318,2,1,54.0,0,0,316,14.0,0,3,539,4,335,0
318,319,1,0,31.0,0,2,626,164.9,101,3,841,9,781,1
319,320,1,0,40.0,1,1,105,134.5,157,1,754,13,389,1
320,321,3,1,22.0,0,0,721,7.25,0,3,204,12,940,0
321,322,3,1,27.0,0,0,502,7.895,0,3,192,12,1122,0
322,323,2,0,30.0,0,0,158,12.35,0,2,741,9,505,1
323,324,2,0,22.0,1,1,211,29.0,0,3,118,13,43,1
324,325,3,1,29.88,8,2,778,69.56,0,3,700,12,421,0
325,326,1,0,36.0,0,0,836,135.6,85,1,860,9,761,1
326,327,3,1,61.0,0,0,413,6.24,0,3,581,12,581,0
327,328,2,0,36.0,0,0,312,13.0,118,3,50,13,0,1
328,329,3,0,31.0,1,1,583,20.53,0,3,290,13,380,1
329,330,1,0,16.0,0,1,10,57.97,25,1,341,9,563,1
330,331,3,0,29.88,2,0,608,23.25,0,2,502,9,34,1
331,332,1,1,45.5,0,0,28,28.5,72,3,614,12,141,0
332,333,1,1,38.0,0,1,805,153.5,112,3,294,12,416,0
333,334,3,1,16.0,2,0,418,18.0,0,3,817,12,700,0
334,335,1,0,29.88,1,0,827,133.6,0,3,261,13,498,1
335,336,3,1,29.88,0,0,508,7.895,0,3,203,12,808,0
336,337,1,1,29.0,1,0,46,66.6,79,3,622,12,1009,0
337,338,1,0,41.0,0,0,105,134.5,161,1,109,9,305,1
338,339,3,1,45.0,0,0,699,8.05,0,3,185,12,667,1
339,340,1,1,45.0,0,0,51,35.5,186,3,84,12,991,0
340,341,2,1,2.0,1,1,145,26.0,181,3,562,8,261,1
341,342,1,0,24.0,3,2,123,263.0,81,3,257,9,75,1
342,343,2,1,28.0,0,0,212,13.0,0,3,159,12,332,0
343,344,2,1,25.0,0,0,198,13.0,0,3,715,12,202,0
344,345,2,1,36.0,0,0,144,13.0,0,3,258,12,984,0
345,346,2,0,24.0,0,0,209,13.0,182,3,104,9,84,1
346,347,2,0,40.0,0,0,344,13.0,0,3,747,9,766,1
347,348,3,0,29.88,1,0,665,16.1,0,3,197,13,1013,1
348,349,3,1,3.0,1,1,769,15.9,0,3,175,8,1110,1
349,350,3,1,42.0,0,0,352,8.664,0,3,209,12,647,0
350,351,3,1,23.0,0,0,690,9.23,0,3,591,12,833,0
351,352,1,1,29.88,0,0,40,35.0,75,3,851,12,368,0
352,353,3,1,15.0,1,1,290,7.23,0,1,234,12,999,0
353,354,3,1,25.0,1,0,520,17.8,0,3,28,12,633,0
354,355,3,1,29.88,0,0,241,7.227,0,1,862,12,1069,0
355,356,3,1,28.0,0,0,433,9.5,0,3,815,12,701,0
356,357,1,0,22.0,0,1,38,55.0,156,3,94,9,316,1
357,358,2,0,38.0,0,0,171,13.0,0,3,266,9,104,0
358,359,3,0,29.88,0,0,381,7.88,0,2,508,9,777,1
359,360,3,0,29.88,0,0,391,7.88,0,2,532,9,474,1
360,361,3,1,40.0,1,4,464,27.9,0,3,739,12,1071,0
361,362,2,1,29.0,1,0,866,27.72,0,1,872,12,956,0
362,363,3,0,45.0,0,1,286,14.45,0,1,53,13,4,0
363,364,3,1,35.0,0,0,879,7.05,0,3,32,12,28,0
364,365,3,1,29.88,1,0,633,15.5,0,2,582,12,1004,0
365,366,3,1,30.0,0,0,745,7.25,0,3,6,12,792,0
366,367,1,0,60.0,1,0,6,75.25,134,1,828,13,383,1
367,368,3,0,29.88,0,0,234,7.23,0,1,544,13,14,1
368,369,3,0,29.88,0,0,102,7.75,0,2,376,9,103,1
369,370,1,0,24.0,0,0,795,69.3,34,1,39,11,706,1
370,371,1,1,25.0,1,0,74,55.44,166,1,312,12,408,1
371,372,3,1,18.0,1,0,330,6.496,0,3,844,12,543,0
372,373,3,1,19.0,0,0,369,8.05,0,3,65,12,1114,0
373,374,1,1,22.0,0,0,836,135.6,0,1,669,12,950,0
374,375,3,0,3.0,3,1,541,21.08,0,3,608,9,992,0
375,376,1,0,29.88,1,0,820,82.2,0,1,520,13,256,1
376,377,3,0,22.0,0,0,746,7.25,0,3,425,9,140,1
377,378,1,1,27.0,0,2,37,211.5,105,1,843,12,466,0
378,379,3,1,20.0,0,0,242,4.01,0,1,74,12,999,0
379,380,3,1,19.0,0,0,446,7.773,0,3,301,12,668,0
380,381,1,0,42.0,0,0,833,227.5,0,1,75,9,931,1
381,382,3,0,1.0,0,2,247,15.74,0,1,555,9,757,1
382,383,3,1,32.0,0,0,909,7.926,0,3,792,12,653,0
383,384,1,0,35.0,1,0,55,52.0,0,3,349,13,55,1
384,385,3,1,29.88,0,0,510,7.895,0,3,645,12,1042,0
385,386,2,1,18.0,0,0,847,73.5,0,3,195,12,205,0
386,387,3,1,1.0,5,2,775,46.9,0,3,292,8,966,0
387,388,2,0,36.0,0,0,298,13.0,0,3,110,9,675,1
388,389,3,1,29.88,0,0,615,7.73,0,2,697,12,786,0
389,390,2,0,17.0,0,0,852,12.0,0,1,435,9,157,1
390,391,1,1,36.0,1,2,43,120.0,61,3,131,12,1096,1
391,392,3,1,21.0,0,0,549,7.797,0,3,370,12,176,1
392,393,3,1,28.0,2,0,332,7.926,0,3,301,12,577,0
393,394,1,0,23.0,1,0,573,113.25,133,1,565,9,769,1
394,395,3,0,24.0,0,2,839,16.7,185,3,707,13,508,1
395,396,3,1,22.0,0,0,559,7.797,0,3,380,12,331,0
396,397,3,0,31.0,0,0,567,7.855,0,3,595,9,299,0
397,398,2,1,46.0,0,0,308,26.0,0,3,510,12,879,0
398,399,2,1,23.0,0,0,193,10.5,0,3,606,4,60,0
399,400,2,0,28.0,0,0,186,12.65,0,3,803,13,1101,1
400,401,3,1,39.0,0,0,906,7.926,0,3,574,12,650,1
401,402,3,1,26.0,0,0,402,8.05,0,3,7,12,592,0
402,403,3,0,21.0,1,0,675,9.83,0,3,388,9,755,0
403,404,3,1,28.0,1,0,913,15.85,0,3,305,12,865,0
404,405,3,0,20.0,0,0,360,8.664,0,3,598,9,762,0
405,406,2,1,34.0,1,0,313,21.0,0,3,269,12,962,0
