,PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,first_name,Mr,second_name
49,50,3,0,18.0,1,0,520,17.8,0,3,28,13,634
50,51,3,1,7.0,4,1,335,39.6875,0,3,609,8,652
51,52,3,1,21.0,0,0,718,7.8,0,3,576,12,909
52,53,1,0,49.0,1,0,803,76.7292,130,1,315,13,496
53,54,2,0,29.0,1,0,324,26.0,0,3,246,13,719
54,55,1,1,65.0,0,1,39,61.9792,33,1,601,12,328
55,56,1,1,29.881137667304014,0,0,122,35.5,93,3,857,12,516
56,57,2,0,21.0,0,0,758,10.5,0,3,690,9,323
57,58,3,1,28.5,0,0,292,7.2292,0,1,578,12,738
58,59,2,0,5.0,1,2,768,27.75,0,3,836,9,227
59,60,3,1,11.0,5,2,775,46.9,0,3,292,8,1099
60,61,3,1,22.0,0,0,263,7.2292,0,1,733,12,848
61,62,1,0,38.0,0,0,42,80.0,31,0,361,9,85
62,63,1,1,45.0,1,0,630,83.475,106,3,317,12,483
63,64,3,1,4.0,3,2,464,27.9,0,3,739,8,459
64,65,1,1,29.881137667304014,0,0,821,27.7208,0,1,765,12,39
65,66,3,1,29.881137667304014,1,1,255,15.2458,0,1,543,8,430
66,67,2,0,29.0,0,0,755,10.5,182,3,579,13,7
67,68,3,1,19.0,0,0,849,8.1583,0,3,178,12,340
68,69,3,0,17.0,4,2,334,7.925,0,3,21,9,334
69,70,3,1,26.0,2,0,363,8.6625,0,3,409,12,1053
70,71,2,1,32.0,0,0,762,10.5,0,3,374,12,990
71,72,3,0,16.0,5,2,775,46.9,0,3,292,9,713
72,73,2,1,21.0,0,0,847,73.5,0,3,352,12,82
73,74,3,1,26.0,1,0,275,14.4542,0,1,149,12,114
74,75,3,1,32.0,0,0,104,56.4958,0,3,76,12,696
75,76,3,1,25.0,0,0,481,7.65,180,3,533,12,970
76,77,3,1,29.881137667304014,0,0,491,7.8958,0,3,758,12,535
77,78,3,1,29.881137667304014,0,0,650,8.05,0,3,545,12,895
78,79,2,1,0.83,0,2,211,29.0,0,3,118,8,47
79,80,3,0,30.0,0,0,593,12.475,0,3,217,9,302
80,81,3,1,22.0,0,0,420,9.0,0,3,823,12,25
81,82,3,1,29.0,0,0,430,9.5,0,3,720,12,559
82,83,3,0,29.881137667304014,0,0,382,7.7875,0,2,505,9,171
83,84,1,1,28.0,0,0,35,47.1,0,3,130,12,375
84,85,2,0,17.0,0,0,871,10.5,0,3,362,9,157
85,86,3,0,33.0,3,0,333,15.85,0,3,43,13,666
86,87,3,1,16.0,1,3,924,34.375,0,3,255,12,1111
87,88,3,1,29.881137667304014,0,0,894,8.05,0,3,743,12,958
88,89,1,0,23.0,3,2,123,263.0,81,3,257,9,731
89,90,3,1,24.0,0,0,411,8.05,0,3,136,12,371
90,91,3,1,29.0,0,0,412,8.05,0,3,147,12,317
91,92,3,1,20.0,0,0,471,7.8542,0,3,22,12,860
92,93,1,1,46.0,1,0,926,61.175,155,3,137,12,500
93,94,3,1,26.0,1,2,750,20.575,0,3,199,12,162
94,95,3,1,59.0,0,0,589,7.25,0,3,176,12,231
95,96,3,1,29.881137667304014,0,0,652,8.05,0,3,724,12,206
96,97,1,1,71.0,0,0,830,34.6542,17,1,289,12,411
97,98,1,1,23.0,0,1,835,63.3583,119,1,297,12,1091
98,99,2,0,34.0,0,1,149,23.0,0,3,213,13,627
99,100,2,1,34.0,1,0,199,26.0,0,3,391,12,975
100,101,3,0,28.0,0,0,528,7.8958,0,3,637,9,785
101,102,3,1,29.881137667304014,0,0,498,7.8958,0,3,638,12,856
102,103,1,1,21.0,0,1,574,77.2875,127,3,840,12,911
103,104,3,1,33.0,0,0,693,8.6542,0,3,380,12,446
104,105,3,1,37.0,2,0,331,7.925,0,3,301,12,91
105,106,3,1,28.0,0,0,490,7.8958,0,3,528,12,994
106,107,3,0,21.0,0,0,409,7.65,0,3,703,9,100
107,108,3,1,29.881137667304014,0,0,341,7.775,0,3,542,12,44
108,109,3,1,38.0,0,0,532,7.8958,0,3,658,12,1030
109,110,3,0,29.881137667304014,1,0,646,24.15,0,2,538,9,157
110,111,1,1,47.0,0,0,2,52.0,67,3,649,12,1058
111,112,3,0,14.5,1,0,259,14.4542,0,1,865,9,507
112,113,3,1,22.0,0,0,370,8.05,0,3,57,12,238
113,114,3,0,20.0,1,0,674,9.825,0,3,388,9,681
114,115,3,0,17.0,0,0,235,14.4583,0,1,38,9,734
115,116,3,1,21.0,0,0,910,7.925,0,3,625,12,262
116,117,3,1,70.5,0,0,635,7.75,0,2,167,12,857
117,118,2,1,29.0,1,0,69,21.0,0,3,809,12,1108
118,119,1,1,24.0,0,1,800,247.5208,49,1,60,12,893
119,120,3,0,2.0,4,2,459,31.275,0,3,21,9,312
120,121,2,1,21.0,2,0,847,73.5,0,3,337,12,983
121,122,3,1,29.881137667304014,0,0,738,8.05,0,3,537,12,704
122,123,2,1,32.5,1,0,174,30.0708,0,1,559,12,821
123,124,2,0,32.5,0,0,297,13.0,149,3,831,9,995
124,125,1,1,54.0,0,1,574,77.2875,127,3,840,12,871
125,126,3,1,12.0,1,0,245,11.2417,0,1,569,8,295
126,127,3,1,29.881137667304014,0,0,638,7.75,0,2,511,12,775
127,128,3,1,24.0,0,0,742,7.1417,0,3,476,12,403
128,129,3,0,29.881137667304014,1,1,262,22.3583,178,1,634,9,97
129,130,3,1,45.0,0,0,438,6.975,0,3,233,12,575
130,131,3,1,33.0,0,0,524,7.8958,0,1,221,12,649
131,132,3,1,20.0,0,0,876,7.05,0,3,154,12,246
132,133,3,0,47.0,1,0,735,14.5,0,3,675,13,52
133,134,2,0,29.0,1,0,143,26.0,0,3,833,13,708
134,135,2,1,25.0,0,0,754,13.0,0,3,750,12,945
135,136,2,1,23.0,0,0,859,15.0458,0,1,665,12,319
136,137,1,0,19.0,0,2,71,26.2833,140,3,566,9,475
137,138,1,1,37.0,1,0,65,53.1,71,3,267,12,540
138,139,3,1,16.0,0,0,691,9.2167,0,3,599,12,842
139,140,1,1,24.0,0,0,810,79.2,59,1,279,12,1045
140,141,3,0,29.881137667304014,0,2,273,15.2458,0,1,90,13,639
141,142,3,0,22.0,0,0,458,7.75,0,3,580,9,101
142,143,3,0,24.0,1,0,913,15.85,0,3,305,13,866
143,144,3,1,19.0,0,0,602,6.75,0,2,108,12,570
144,145,2,1,18.0,0,0,150,11.5,0,3,23,12,257
145,146,2,1,19.0,1,1,763,36.75,0,3,567,12,641
146,147,3,1,27.0,0,0,553,7.7958,0,3,21,12,133
147,148,3,0,9.0,2,2,924,34.375,0,3,255,9,928
148,149,2,1,36.5,0,2,145,26.0,181,3,562,12,800
149,150,2,1,42.0,0,0,194,13.0,0,3,113,15,1021
150,151,2,1,51.0,0,0,848,12.525,0,3,58,15,924
151,152,1,0,22.0,1,0,46,66.6,79,3,622,13,1006
152,153,3,1,55.5,0,0,709,8.05,0,3,518,12,59
153,154,3,1,40.5,0,2,736,14.5,0,3,873,12,142
154,155,3,1,29.881137667304014,0,0,786,7.3125,0,3,594,12,844
155,156,1,1,51.0,0,1,814,61.3792,0,1,850,12,196
156,157,3,0,16.0,0,0,575,7.7333,0,2,285,9,679
157,158,3,1,30.0,0,0,896,8.05,0,3,172,12,464
158,159,3,1,29.881137667304014,0,0,345,8.6625,0,3,746,12,803
159,160,3,1,29.881137667304014,8,2,778,69.55,0,3,700,8,1012
160,161,3,1,44.0,0,1,647,16.1,0,3,179,12,609
161,162,2,0,40.0,0,0,764,15.75,0,3,830,13,545
162,163,3,1,26.0,0,0,445,7.775,0,3,70,12,628
163,164,3,1,17.0,0,0,357,8.6625,0,3,119,12,648
164,165,3,1,1.0,4,1,335,39.6875,0,3,609,8,291
165,166,3,1,9.0,0,2,583,20.525,0,3,290,8,381
166,167,1,0,29.881137667304014,0,1,38,55.0,156,3,144,13,5
167,168,3,0,45.0,1,4,464,27.9,0,3,739,13,1074
168,169,1,1,29.881137667304014,0,0,790,25.925,0,3,59,12,603
169,170,3,1,28.0,0,0,104,56.4958,0,3,456,12,696
170,171,1,1,61.0,0,0,8,33.5,26,3,812,12,1120
171,172,3,1,4.0,4,1,659,29.125,0,2,664,8,118
172,173,3,0,1.0,1,1,477,11.1333,0,3,382,9,294
173,174,3,1,21.0,0,0,902,7.925,0,3,736,12,113
174,175,1,1,56.0,0,0,115,30.6958,19,1,747,12,548
175,176,3,1,18.0,1,1,564,7.8542,0,3,413,12,683
176,177,3,1,29.881137667304014,3,1,671,25.4667,0,3,434,8,486
177,178,1,0,50.0,0,0,812,28.7125,90,1,365,9,96
178,179,2,1,30.0,0,0,225,13.0,0,3,306,12,901
179,180,3,1,36.0,0,0,787,0.0,0,3,441,12,717
180,181,3,0,29.881137667304014,8,2,778,69.55,0,3,700,9,226
181,182,2,1,29.881137667304014,0,0,858,15.05,0,1,630,12,905
182,183,3,1,9.0,4,2,454,31.3875,0,3,33,8,219
183,184,2,1,1.0,2,1,146,39.0,184,3,66,8,910
184,185,3,0,4.0,0,2,365,22.025,0,3,410,9,727
185,186,1,1,29.881137667304014,0,0,44,50.0,14,3,680,12,517
186,187,3,0,29.881137667304014,1,0,633,15.5,0,2,582,13,1007
187,188,1,1,45.0,0,0,14,26.55,0,3,678,12,204
188,189,3,1,40.0,1,1,596,15.5,0,2,91,12,592
189,190,3,1,36.0,0,0,530,7.8958,0,3,806,12,993
190,191,2,0,32.0,0,0,156,13.0,0,3,644,13,18
191,192,2,1,19.0,0,0,310,13.0,0,3,126,12,1073
192,193,3,0,19.0,1,0,555,7.8542,0,3,19,9,181
193,194,2,1,3.0,1,1,145,26.0,181,3,562,8,801
194,195,1,0,44.0,0,0,826,27.7208,39,1,104,13,551
195,196,1,0,58.0,0,0,802,146.5208,57,1,470,9,301
196,197,3,1,29.881137667304014,0,0,624,7.75,0,2,519,12,920
197,198,3,1,42.0,0,1,677,8.4042,0,3,594,12,673
198,199,3,0,29.881137667304014,0,0,636,7.75,0,2,474,9,746
199,200,2,0,24.0,0,0,215,13.0,0,3,864,9,479
200,201,3,1,28.0,0,0,423,9.5,0,3,814,12,820
201,202,3,1,29.881137667304014,8,2,778,69.55,0,3,700,12,390
202,203,3,1,34.0,0,0,327,6.4958,0,3,379,12,543
203,204,3,1,45.5,0,0,236,7.225,0,1,861,12,431
204,205,3,1,18.0,0,0,728,8.05,0,3,155,12,444
205,206,3,0,2.0,0,1,436,10.4625,185,3,774,9,1000
206,207,3,1,32.0,1,0,333,15.85,0,3,43,12,665
207,208,3,1,26.0,0,0,294,18.7875,0,1,10,12,813
208,209,3,0,16.0,0,0,613,7.75,0,2,129,9,471
209,210,1,1,40.0,0,0,21,31.0,13,1,85,12,481
210,211,3,1,24.0,0,0,880,7.05,0,3,14,12,35
211,212,2,0,35.0,0,0,781,21.0,0,3,120,9,222
212,213,3,1,22.0,0,0,723,7.25,0,3,629,12,610
213,214,2,1,30.0,0,0,218,13.0,0,3,286,12,455
214,215,3,1,29.881137667304014,1,0,611,7.75,0,2,406,12,885
215,216,1,0,31.0,1,0,573,113.275,133,1,565,9,732
216,217,3,0,27.0,0,0,915,7.925,0,3,351,9,297
217,218,2,1,42.0,1,0,189,27.0,0,3,368,12,967
218,219,1,0,32.0,0,0,81,76.2917,121,1,61,9,46
219,220,2,1,30.0,0,0,927,10.5,0,3,317,12,1056
220,221,3,1,16.0,0,0,895,8.05,0,3,775,12,1046
221,222,2,1,27.0,0,0,136,13.0,0,3,95,12,550
222,223,3,1,51.0,0,0,133,8.05,0,3,295,12,419
223,224,3,1,29.881137667304014,0,0,517,7.8958,0,3,563,12,216
224,225,1,1,38.0,1,0,121,90.0,114,3,356,12,398
225,226,3,1,22.0,0,0,838,9.35,0,3,72,12,670
226,227,2,1,19.0,0,0,918,10.5,0,3,517,12,1107
227,228,3,1,20.5,0,0,722,7.25,0,3,465,12,608
228,229,2,1,18.0,0,0,160,13.0,0,3,243,12,117
229,230,3,0,29.881137667304014,3,1,671,25.4667,0,3,434,9,784
230,231,1,0,35.0,1,0,630,83.475,106,3,317,13,484
231,232,3,1,29.0,0,0,444,7.775,0,3,429,12,147
232,233,2,1,59.0,0,0,167,13.5,0,3,738,12,344
233,234,3,0,5.0,4,2,454,31.3875,0,3,33,9,714
234,235,2,1,24.0,0,0,756,10.5,0,3,446,12,925
235,236,3,0,29.881137667304014,0,0,925,7.55,0,3,313,9,77
236,237,2,1,44.0,1,0,265,26.0,0,3,346,12,988
237,238,2,0,8.0,0,2,761,26.25,0,3,162,9,770
238,239,2,1,19.0,0,0,314,10.5,0,3,628,12,402
239,240,2,1,33.0,0,0,870,12.275,0,3,358,12,419
240,241,3,0,29.881137667304014,1,0,259,14.4542,0,1,865,9,1001
241,242,3,0,29.881137667304014,1,0,612,15.5,0,2,550,9,678
242,243,2,1,29.0,0,0,921,10.5,0,3,158,12,902
243,244,3,1,22.0,0,0,901,7.125,0,3,477,12,788
244,245,3,1,30.0,0,0,289,7.225,0,1,38,12,977
245,246,1,1,44.0,2,0,120,90.0,103,2,525,4,1094
246,247,3,0,25.0,0,0,448,7.775,0,3,448,9,33
247,248,2,0,24.0,0,2,221,14.5,0,3,307,13,1076
248,249,1,1,37.0,1,1,70,52.5542,132,3,67,12,915
249,250,2,1,54.0,1,0,191,26.0,0,3,131,15,337
250,251,3,1,29.881137667304014,0,0,581,7.25,0,3,656,12,549
251,252,3,0,29.0,1,1,436,10.4625,185,3,774,13,1072
252,253,1,1,62.0,0,0,41,26.55,109,3,762,12,1114
253,254,3,1,30.0,1,0,734,16.1,0,3,459,12,1084
254,255,3,0,41.0,0,2,632,20.2125,0,3,681,13,1050
255,256,3,0,29.0,0,2,244,15.2458,0,1,801,13,236
256,257,1,0,29.881137667304014,0,0,806,79.2,0,1,790,13,433
257,258,1,0,30.0,0,0,0,86.5,54,3,142,9,436
258,259,1,0,35.0,0,0,831,512.3292,0,1,826,9,97
259,260,2,0,50.0,0,1,147,26.0,0,3,613,13,13
260,261,3,1,29.881137667304014,0,0,664,7.75,0,2,747,12,1004
261,262,3,1,3.0,4,2,454,31.3875,0,3,33,8,266
262,263,1,1,52.0,1,1,1,79.65,171,3,783,12,317
263,264,1,1,40.0,0,0,20,0.0,60,3,318,12,1073
264,265,3,0,29.881137667304014,0,0,656,7.75,0,2,334,9,240
265,266,2,1,36.0,0,0,748,10.5,0,3,657,12,237
266,267,3,1,16.0,4,1,335,39.6875,0,3,609,12,343
267,268,3,1,25.0,1,0,460,7.775,0,3,632,12,349
268,269,1,0,58.0,0,1,805,153.4625,73,3,294,13,1116
269,270,1,0,35.0,0,0,836,135.6333,117,3,81,9,83
270,271,1,1,29.881137667304014,0,0,62,31.0,0,3,116,12,48
271,272,3,1,25.0,0,0,787,0.0,0,3,799,12,1102
272,273,2,0,41.0,0,1,217,19.5,0,3,516,13,6
273,274,1,1,37.0,0,1,813,29.7,70,1,560,12,203
274,275,3,0,29.881137667304014,0,0,641,7.75,0,2,325,9,453
275,276,1,0,63.0,1,0,92,77.9583,146,3,24,9,686
276,277,3,0,45.0,0,0,450,7.75,0,3,449,9,138
277,278,2,1,29.881137667304014,0,0,178,0.0,0,3,611,12,372
278,279,3,1,7.0,4,1,659,29.125,0,2,664,8,330
279,280,3,0,35.0,1,1,753,20.25,0,3,1,13,985
280,281,3,1,65.0,0,0,399,7.75,0,2,223,12,376
281,282,3,1,28.0,0,0,469,7.8542,0,3,595,12,832
282,283,3,1,16.0,0,0,429,9.5,0,3,871,12,58
283,284,3,1,19.0,0,0,731,8.05,0,3,215,12,271
284,285,1,1,29.881137667304014,0,0,34,26.0,6,3,747,12,918
285,286,3,1,33.0,0,0,522,8.6625,0,1,759,12,535
286,287,3,1,30.0,0,0,426,9.5,0,3,870,12,1003
287,288,3,1,22.0,0,0,489,7.8958,0,3,553,12,867
288,289,2,1,42.0,0,0,176,13.0,0,3,354,12,782
289,290,3,0,22.0,0,0,639,7.75,0,2,166,9,675
290,291,1,0,26.0,0,0,118,78.85,0,3,54,9,309
291,292,1,0,19.0,1,0,82,91.0792,43,1,80,13,245
292,293,2,1,36.0,0,0,869,12.875,118,1,444,12,907
293,294,3,0,24.0,0,0,519,8.85,0,3,302,9,80
294,295,3,1,24.0,0,0,516,7.8958,0,3,526,12,535
295,296,1,1,29.881137667304014,0,0,828,27.7208,0,1,445,12,351
296,297,3,1,23.5,0,0,288,7.2292,0,1,309,12,739
297,298,1,0,2.0,1,2,49,151.55,80,3,16,9,473
298,299,1,1,29.881137667304014,0,0,126,30.5,66,3,696,12,32
299,300,1,0,50.0,0,1,800,247.5208,49,1,60,13,547
300,301,3,0,29.881137667304014,0,0,704,7.75,0,2,401,9,99
301,302,3,1,29.881137667304014,2,0,608,23.25,0,2,502,12,154
302,303,3,1,19.0,0,0,787,0.0,0,3,382,12,1092
303,304,2,0,29.881137667304014,0,0,141,12.35,149,2,398,9,836
304,305,3,1,29.881137667304014,0,0,725,8.05,0,3,850,12,512
305,306,1,1,0.92,1,2,49,151.55,80,3,16,8,515
306,307,1,0,29.881137667304014,0,0,107,110.8833,0,1,251,9,745
307,308,1,0,17.0,1,0,834,108.9,99,1,627,13,1048
308,309,2,1,30.0,1,0,789,24.0,0,1,3,12,940
309,310,1,0,30.0,0,0,798,56.9292,158,1,259,9,693
310,311,1,0,24.0,0,0,75,83.1583,95,1,323,9,747
311,312,1,0,18.0,2,2,824,262.375,48,1,693,9,324
312,313,2,0,26.0,1,1,223,26.0,0,3,420,13,1075
313,314,3,1,28.0,0,0,526,7.8958,0,3,332,12,524
314,315,2,1,43.0,1,1,782,26.25,0,3,319,12,148
315,316,3,0,26.0,0,0,475,7.8542,0,3,572,9,478
316,317,2,0,24.0,1,0,199,26.0,0,3,391,13,976
317,318,2,1,54.0,0,0,316,14.0,0,3,539,4,335
318,319,1,0,31.0,0,2,626,164.8667,101,3,841,9,781
319,320,1,0,40.0,1,1,105,134.5,157,1,754,13,389
320,321,3,1,22.0,0,0,721,7.25,0,3,204,12,940
321,322,3,1,27.0,0,0,502,7.8958,0,3,192,12,1122
322,323,2,0,30.0,0,0,158,12.35,0,2,741,9,505
323,324,2,0,22.0,1,1,211,29.0,0,3,118,13,43
324,325,3,1,29.881137667304014,8,2,778,69.55,0,3,700,12,421
325,326,1,0,36.0,0,0,836,135.6333,85,1,860,9,761
326,327,3,1,61.0,0,0,413,6.2375,0,3,581,12,581
327,328,2,0,36.0,0,0,312,13.0,118,3,50,13,0
328,329,3,0,31.0,1,1,583,20.525,0,3,290,13,380
329,330,1,0,16.0,0,1,10,57.9792,25,1,341,9,563
330,331,3,0,29.881137667304014,2,0,608,23.25,0,2,502,9,34
331,332,1,1,45.5,0,0,28,28.5,72,3,614,12,141
332,333,1,1,38.0,0,1,805,153.4625,112,3,294,12,416
333,334,3,1,16.0,2,0,418,18.0,0,3,817,12,700
334,335,1,0,29.881137667304014,1,0,827,133.65,0,3,261,13,498
335,336,3,1,29.881137667304014,0,0,508,7.8958,0,3,203,12,808
336,337,1,1,29.0,1,0,46,66.6,79,3,622,12,1009
337,338,1,0,41.0,0,0,105,134.5,161,1,109,9,305
338,339,3,1,45.0,0,0,699,8.05,0,3,185,12,667
339,340,1,1,45.0,0,0,51,35.5,186,3,84,12,991
340,341,2,1,2.0,1,1,145,26.0,181,3,562,8,261
341,342,1,0,24.0,3,2,123,263.0,81,3,257,9,75
342,343,2,1,28.0,0,0,212,13.0,0,3,159,12,332
343,344,2,1,25.0,0,0,198,13.0,0,3,715,12,202
344,345,2,1,36.0,0,0,144,13.0,0,3,258,12,984
345,346,2,0,24.0,0,0,209,13.0,182,3,104,9,84
346,347,2,0,40.0,0,0,344,13.0,0,3,747,9,766
347,348,3,0,29.881137667304014,1,0,665,16.1,0,3,197,13,1013
348,349,3,1,3.0,1,1,769,15.9,0,3,175,8,1110
349,350,3,1,42.0,0,0,352,8.6625,0,3,209,12,647
350,351,3,1,23.0,0,0,690,9.225,0,3,591,12,833
351,352,1,1,29.881137667304014,0,0,40,35.0,75,3,851,12,368
352,353,3,1,15.0,1,1,290,7.2292,0,1,234,12,999
353,354,3,1,25.0,1,0,520,17.8,0,3,28,12,633
354,355,3,1,29.881137667304014,0,0,241,7.225,0,1,862,12,1069
355,356,3,1,28.0,0,0,433,9.5,0,3,815,12,701
356,357,1,0,22.0,0,1,38,55.0,156,3,94,9,316
357,358,2,0,38.0,0,0,171,13.0,0,3,266,9,104
358,359,3,0,29.881137667304014,0,0,381,7.8792,0,2,508,9,777
359,360,3,0,29.881137667304014,0,0,391,7.8792,0,2,532,9,474
360,361,3,1,40.0,1,4,464,27.9,0,3,739,12,1071
361,362,2,1,29.0,1,0,866,27.7208,0,1,872,12,956
362,363,3,0,45.0,0,1,286,14.4542,0,1,53,13,4
363,364,3,1,35.0,0,0,879,7.05,0,3,32,12,28
364,365,3,1,29.881137667304014,1,0,633,15.5,0,2,582,12,1004
365,366,3,1,30.0,0,0,745,7.25,0,3,6,12,792
366,367,1,0,60.0,1,0,6,75.25,134,1,828,13,383
367,368,3,0,29.881137667304014,0,0,234,7.2292,0,1,544,13,14
368,369,3,0,29.881137667304014,0,0,102,7.75,0,2,376,9,103
369,370,1,0,24.0,0,0,795,69.3,34,1,39,11,706
370,371,1,1,25.0,1,0,74,55.4417,166,1,312,12,408
371,372,3,1,18.0,1,0,330,6.4958,0,3,844,12,543
372,373,3,1,19.0,0,0,369,8.05,0,3,65,12,1114
373,374,1,1,22.0,0,0,836,135.6333,0,1,669,12,950
374,375,3,0,3.0,3,1,541,21.075,0,3,608,9,992
375,376,1,0,29.881137667304014,1,0,820,82.1708,0,1,520,13,256
376,377,3,0,22.0,0,0,746,7.25,0,3,425,9,140
377,378,1,1,27.0,0,2,37,211.5,105,1,843,12,466
378,379,3,1,20.0,0,0,242,4.0125,0,1,74,12,999
379,380,3,1,19.0,0,0,446,7.775,0,3,301,12,668
380,381,1,0,42.0,0,0,833,227.525,0,1,75,9,931
381,382,3,0,1.0,0,2,247,15.7417,0,1,555,9,757
382,383,3,1,32.0,0,0,909,7.925,0,3,792,12,653
383,384,1,0,35.0,1,0,55,52.0,0,3,349,13,55
384,385,3,1,29.881137667304014,0,0,510,7.8958,0,3,645,12,1042
385,386,2,1,18.0,0,0,847,73.5,0,3,195,12,205
386,387,3,1,1.0,5,2,775,46.9,0,3,292,8,966
387,388,2,0,36.0,0,0,298,13.0,0,3,110,9,675
388,389,3,1,29.881137667304014,0,0,615,7.7292,0,2,697,12,786
389,390,2,0,17.0,0,0,852,12.0,0,1,435,9,157
390,391,1,1,36.0,1,2,43,120.0,61,3,131,12,1096
391,392,3,1,21.0,0,0,549,7.7958,0,3,370,12,176
392,393,3,1,28.0,2,0,332,7.925,0,3,301,12,577
393,394,1,0,23.0,1,0,573,113.275,133,1,565,9,769
394,395,3,0,24.0,0,2,839,16.7,185,3,707,13,508
395,396,3,1,22.0,0,0,559,7.7958,0,3,380,12,331
396,397,3,0,31.0,0,0,567,7.8542,0,3,595,9,299
397,398,2,1,46.0,0,0,308,26.0,0,3,510,12,879
398,399,2,1,23.0,0,0,193,10.5,0,3,606,4,60
399,400,2,0,28.0,0,0,186,12.65,0,3,803,13,1101
400,401,3,1,39.0,0,0,906,7.925,0,3,574,12,650
401,402,3,1,26.0,0,0,402,8.05,0,3,7,12,592
402,403,3,0,21.0,1,0,675,9.825,0,3,388,9,755
403,404,3,1,28.0,1,0,913,15.85,0,3,305,12,865
404,405,3,0,20.0,0,0,360,8.6625,0,3,598,9,762
405,406,2,1,34.0,1,0,313,21.0,0,3,269,12,962
406,407,3,1,51.0,0,0,441,7.75,0,3,842,12,180
407,408,2,1,3.0,1,1,321,18.75,0,3,666,8,1113
408,409,3,1,21.0,0,0,342,7.775,0,3,78,12,457
409,410,3,0,29.881137667304014,3,1,671,25.4667,0,3,434,9,520
410,411,3,1,29.881137667304014,0,0,505,7.8958,0,3,714,12,1033
411,412,3,1,29.881137667304014,0,0,670,6.8583,0,2,319,12,481
412,413,1,0,33.0,1,0,120,90.0,103,2,525,9,230
413,414,2,1,29.881137667304014,0,0,178,0.0,0,3,183,12,65
414,415,3,1,44.0,0,0,898,7.925,0,3,776,12,583
415,416,3,0,29.881137667304014,0,0,408,8.05,0,3,515,13,1005
416,417,2,0,34.0,1,1,305,32.5,0,3,222,13,555
